antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len,rule_len,rule_label
frozenset({'17131869'}),frozenset({'15704307'}),0.0548853422644475,0.0910768599842794,0.0422747001127781,0.7702366127023661,8.456995693915172,1.0,0.0372759154801697,3.955909384458664,0.932960558749706,0.4077125906394199,0.7472136232622926,0.6172008579459297,1,1,2,{17131869} → {15704307}
frozenset({'19358975'}),frozenset({'15704307'}),0.0430265541164006,0.0910768599842794,0.0307918389665424,0.715647339158062,7.857619809044673,1.0,0.026873115521677,3.1964643387703697,0.9119741011047172,0.2980482963943103,0.6871543386638612,0.5268668215490122,1,1,2,{19358975} → {15704307}
frozenset({'19358975'}),frozenset({'17131869'}),0.0430265541164006,0.0548853422644475,0.0306209630566282,0.7116759332803813,12.96659370094473,1.0,0.0282594359074898,3.277959653137908,0.964372363071005,0.4550533265617064,0.6949321816567433,0.6347918894297299,1,1,2,{19358975} → {17131869}
frozenset({'17131869'}),frozenset({'19358975'}),0.0548853422644475,0.0430265541164006,0.0306209630566282,0.5579078455790785,12.966593700944731,1.0,0.0282594359074898,2.164646977590226,0.9764727865020534,0.4550533265617064,0.5380309074169494,0.6347918894297299,1,1,2,{17131869} → {19358975}
frozenset({'15704307'}),frozenset({'17131869'}),0.0910768599842794,0.0548853422644475,0.0422747001127781,0.4641651031894934,8.456995693915172,1.0,0.0372759154801697,1.7638169207739824,0.9701091988352806,0.4077125906394199,0.4330477340237846,0.6172008579459297,1,1,2,{15704307} → {17131869}
frozenset({'15704307'}),frozenset({'19358975'}),0.0910768599842794,0.0430265541164006,0.0307918389665424,0.3380863039399625,7.857619809044672,1.0,0.026873115521677,1.445767705940925,0.9601856963127648,0.2980482963943103,0.3083259531314635,0.5268668215490122,1,1,2,{15704307} → {19358975}
