antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len,rule_len,rule_label
"frozenset({'23093367', '17131869'})",frozenset({'15704307'}),0.0242985543898021,0.0910768599842794,0.0204025836437579,0.839662447257384,9.2192731216504,1.0,0.0181895476077774,5.6688101100980495,0.9137339939628086,0.2148254767902123,0.823596137358938,0.5318387283191235,2,1,3,"{23093367, 17131869} → {15704307}"
"frozenset({'19358975', '17131869'})",frozenset({'15704307'}),0.0306209630566282,0.0910768599842794,0.0256655616691158,0.8381696428571429,9.202882521441971,1.0,0.0228767005042235,5.6165181617523166,0.91949419106976,0.2672597864768683,0.821953749422577,0.5599853842803538,2,1,3,"{19358975, 17131869} → {15704307}"
"frozenset({'19358975', '15704307'})",frozenset({'17131869'}),0.0307918389665424,0.0548853422644475,0.0256655616691158,0.8335183129855716,15.18653758173774,1.0,0.0239755410484854,5.676988710798217,0.9638303136955144,0.4276765375854214,0.8238502750414323,0.6505698663308929,2,1,3,"{19358975, 15704307} → {17131869}"
"frozenset({'19358975', '23093367'})",frozenset({'17131869'}),0.0242985543898021,0.0548853422644475,0.0200266566419466,0.8241912798874824,15.016600897128034,1.0,0.018693022167731,5.375812173199822,0.956652301512824,0.3385326400924321,0.8139815961232191,0.5945364867681497,2,1,3,"{19358975, 23093367} → {17131869}"
"frozenset({'23093367', '17131869'})",frozenset({'19358975'}),0.0242985543898021,0.0430265541164006,0.0200266566419466,0.8241912798874824,19.15540988148342,1.0,0.0189811735765434,5.443264960185913,0.9713990185471868,0.4234104046242774,0.8162867309759169,0.6448200243758302,2,1,3,"{23093367, 17131869} → {19358975}"
"frozenset({'15704307', '23093367'})",frozenset({'17131869'}),0.0255630361231673,0.0548853422644475,0.0204025836437579,0.7981283422459893,14.541739366413385,1.0,0.0189995476568194,4.681760026398631,0.955662059229382,0.3397837222538418,0.7864051138116034,0.5849296754816496,2,1,3,"{15704307, 23093367} → {17131869}"
frozenset({'17131869'}),frozenset({'15704307'}),0.0548853422644475,0.0910768599842794,0.0422747001127781,0.7702366127023661,8.456995693915172,1.0,0.0372759154801697,3.955909384458664,0.932960558749706,0.4077125906394199,0.7472136232622926,0.6172008579459297,1,1,2,{17131869} → {15704307}
frozenset({'19358975'}),frozenset({'15704307'}),0.0430265541164006,0.0910768599842794,0.0307918389665424,0.715647339158062,7.857619809044673,1.0,0.026873115521677,3.1964643387703697,0.9119741011047172,0.2980482963943103,0.6871543386638612,0.5268668215490122,1,1,2,{19358975} → {15704307}
frozenset({'19358975'}),frozenset({'17131869'}),0.0430265541164006,0.0548853422644475,0.0306209630566282,0.7116759332803813,12.96659370094473,1.0,0.0282594359074898,3.277959653137908,0.964372363071005,0.4550533265617064,0.6949321816567433,0.6347918894297299,1,1,2,{19358975} → {17131869}
frozenset({'23093367'}),frozenset({'15704307'}),0.038993882642425,0.0910768599842794,0.0255630361231673,0.6555652936021034,7.19793473024058,1.0,0.0220115957334997,2.638883722030374,0.8960101760217859,0.2446043165467625,0.6210518896108869,0.46812035787047,1,1,2,{23093367} → {15704307}
